,topic_id,content,doc_index,full_doc
10,3,"A novel finite-time consensus framework for multi-agent systems with double-integrator dynamics is established, enabling a multi-agent team to achieve consensus at any preset time using linear feedback control protocols with time-varying gains.",1630,"Reaching Consensus At A Preset Time: Double-Integrator Dynamics Case nan In the paper, a novel finite-time consensus framework for multi-agent systems with double-integrator dynamics is established. In such a framework, the multi-agent team can achieve consensus at any preset time. In order to reach this goal, linear feedback control protocols with time-varying gains are introduced. The proposed time-varying control protocols can solve consensus problems at the preset time if the undirected communication topology is connected. Numerical simulations are presented to illustrate the effectiveness of the obtained theoretical results."
11,3,"A multi-agent control system for a team of mobile robots is implemented using perception and mobile agents, with communication based on the contract net protocol, and the self-localization function of mobile agents used to test its operation.",972,"Multi-agent control for the team of mobile robots-implementation of selected agents supporting navigation nan The architecture of a multi-agent control system for a team of mobile robots is discussed. Some already implemented elements are presented, namely: perception agents and mobile agents. Communication modes in the system are based on the contract net protocol. The self-localization function of the mobile agents has been used in order to test the operation of the system having logical architecture defined in the paper. Results of the experiments are presented."
12,4,"Conversational User Interfaces (CUIs) are poised to revolutionize human-computer interaction due to their natural, human-like interactions, offering significant benefits in various applications such as crowd computing, decision making, health and well-being, and information retrieval.",286,"DECI: The 2nd Tutorial on Designing Effective Conversational Interfaces nan Conversational User Interfaces (CUIs) have been argued to have advantages over traditional GUIs due to having a more human-like interaction. The growing popularity of conversational agents has enabled humans to interact with machines more naturally. People are increasingly familiar with conversational interactions mediated by technology due to the widespread use of mobile devices and messaging services and a hungry market for conversational agents. Based on the recent advances in conversational AI, due to the proliferation of large language models, there are clear signs that the future of human-computer interaction will have a significant conversational component. Today, over two-thirds of the population on our planet has access to the Internet, with ever-lowering barriers to accessibility. This tutorial will showcase the benefits of employing novel conversational interfaces for crowd computing, human-AI decision making, health and well-being, and information retrieval. Given the widespread adoption of AI systems across several domains, we will discuss the potential of conversational interfaces in facilitating and mediating people's interactions with AI systems and the opportunities and challenges that lie at this intersection from the user modeling and personalization standpoint. The tutorial will include interactive elements and discussions and provide participants with practical insights to inform the design of effective conversational interfaces."
13,4,"Conversational user interfaces (CUIs) are poised to play a significant role in the future of human-computer interaction, offering benefits for various applications such as crowd computing, human-AI decision making, health and well-being, and information retrieval.",159,"DECI: A Tutorial on Designing Effective Conversational Interfaces nan Conversational User Interfaces (CUIs) have been argued to have advantages over traditional GUIs due to having a more human-like interaction. The growing popularity of conversational agents has enabled humans to interact with machines more naturally. There is an increasing familiarity among people with conversational interactions mediated by technology due to the widespread use of mobile devices and messaging services and a hungry market for conversational agents. Based on the recent advances in conversational AI, as a result of the proliferation of large language models, the signs are that the future of human-computer interaction will have a significant conversational component. Today, over two-thirds of the population on our planet has access to the Internet, with ever-lowering barriers to accessibility. This tutorial will showcase the benefits of employing novel conversational interfaces for crowd computing, human-AI decision making, health and well-being, and information retrieval. Given the widespread adoption of AI systems across several domains, we will discuss the potential of conversational interfaces in facilitating and mediating people's interactions with AI systems. The tutorial will include interactive elements and discussions and provide participants with insights to inform the design of effective conversational interfaces."
14,4,"This research aims to optimize conversational commerce involving multilingual consumers through large language models' natural language understanding abilities by developing a hybrid human-AI setup that leverages LLMs for named entity recognition, enhancing user experience during key order-to-cash steps.",376,"Optimizing Conversational Commerce Involving Multilingual Consumers Through Large Language Models' Natural Language Understanding Abilities nan Due to the emergence of natural language processing (NLP) interfaces, there has been growing intent to use conversational channels for commerce. Beyond customer service, NLP-enabled AI agents are being integrated into various steps of the order-to-cash (OTC) process. Social media and messaging platforms such as Facebook Messenger have become pivotal for businesses, especially during and after the COVID-19 pandemic, but adoption has been limited. In addition, attitudes towards fully-automated conversational agents (CA) have been mixed, and there is room for human involvement in transactional conversations. A distinguishing contribution of this research is leveraging the inherent capabilities of Large Language Models (LLMs) in handling multilingual conversations and extracting transactional details through named entity recognition (NER). The study describes a hybrid human-AI setup augmenting agents with an auto-agent leveraging LLMs' natural language understanding (NLU) capabilities, designed using the OTC process pattern applied to conversational UX frameworks. A prototype of the setup aims to streamline operations and reduce errors by enhancing the user experience during key OTC steps through improved conversational design. Recognizing the irreplaceable essence of human interaction, the hybrid human-in-the-loop approach was chosen, mitigating the impersonal nature of full automation. A prototype handling customers and humans augmented by LLMs for NER handling of transaction, customer, and product information was built. Sample synthetic bilingual conversations between customers and sales agents were generated using ChatGPT and fed into the system for evaluation."
15,5,"Artificial intelligence can be applied to various medical fields, including diagnosis, treatment, and management, to improve patient care and outcomes.",3339,"Artificial Intelligence in Medicine. 8th Conference on Artificial Intelligence in Medicine in Europe, AIME 2001. Proceedings (Lecture Notes in Artificial Intelligence Vol.2101) nan The following topics are dealt with: mediated agent interaction; articulation and localization; prototype selection and feature subset selection; detection of infectious outbreaks in hospitals; mining data from a knowledge management perspective; discovering associations in clinical data; visualisation of multidimensional data; clustering-based constructive induction; identification of difficult small classes by balancing class distribution; credal classification for dementia screening; evaluation of prognostic factors and prediction of chronic wound healing rate; reliable diagnoses with machine learning; classification-tree hybrid method for studying prognostic models; machine learning for analysis of a patient database; coronary heart disease patient models based on inductive machine learning; prediction of protein secondary structures; insulin therapy support in diabetic patients; diagnosing patient state in intensive care patients; user interface for executing Asbru plans; improving HISYS1 with a DSS; diagnosis of iron-deficiency anaemia with support vector machine; visual tool for user-friendly artificial neural net-based DSS; modelling ventricular repolarisation time series by multilayer perceptrons; construction of texture features for Hashimoto's lymphocytis thyroiditis recognition; dynamic adaptation of cooperative agents for MRI brain-scan segmentation; knowledge representation of cortex anatomy using Web technologies; threshold circuits for computer-assisted X-ray diagnosis; management of hospital teams for organ transplants using multi-agent systems; supporting communication in health care organizations; time resourcing in academic medical environments; conceptual framework to model diseases; modelling of radiological examinations; multi-agent system for organ transplant coordination; knowledge and data management for EMG studies; eligibility screening system to improve accrual on to breast cancer clinical trials; using critiquing for improving medical protocols; impact of clinical practice guidelines on stroke outcomes; evaluating complex DSSs; probabilistic networks; and a case-based antibiotics therapy adviser."
16,5,"Developing a method using Ant Colony Optimization (ACO) to enable effective cooperation among heterogeneous agents in multi-agent systems, specifically implemented in a RoboCup Rescue Simulation System.",2055,Introduction of Acquiring Method for Agents' Actions with Simple Ant Colony Optimization in RoboCup Rescue Simulation System nan This paper has presented acquiring method for agents' actions using Ant Colony Optimization (ACO) in multi-agent system. ACO is one of powerful meta-heuristics algorithms and some researchers have reported the effectiveness of some applications with the algorithm [1-4]. I have developed fire brigade agents using proposed method in RoboCup rescue simulation system. The final goal of this research is an achievement of co-operations for hetero-agent in multi-agent systems. Then this research for implementation for fire brigade agents in my team is the first step of this goal.
17,5,"A multi-agent model is proposed to improve decision-making process for patient care at emergency departments by integrating pertinent data, protocols, and knowledge of medical activity.",1882,"Toward a Multi-Agent Model for the Care of Patients at The Emergency Department nan Though multi-agent systems have been explored in a wide variety of medical settings, their role at the emergency department care level has been relatively little investigated. In this paper, we propose a tool to assist decision-making process for the care of patients at the emergency department. This tool aims to improve the quality of care within the emergency departments with rapid access to pertinent data, integration of care's protocols and assures knowledge of the quantity and the quality of medical activity. This multi-agent model was adopted to define the behavior of entities by distributing data and tasks in an attempt to explain and predict events in the emergency department. The agents of our model acts as a collaborative team of specialists."
18,6,Developing a virtual educational environment model that utilizes collaboration as a form of social interplay to create an easier learning experience through human-agent interaction.,2294,"Ontology used in a e-learning multiagent architecture nan The main goal of this article is to develop a virtual educational environment model which makes learning easier by using collaboration (and extension, team-research model) as a form of social interplay. The model represents a universe where human agents interact with artificial agents (software agents). Considering the vision of the system, it can be classified among advanced systems for it is client-oriented (student) and provides value added educational services, due to the collaborative learning attribute. The model proposes an original architecture where elements of the socio-cultural theory of collaborative learning are assigned to the artificial intelligence components (the multi-agent system). The expected results are: conceptual models (agents, learning and teaching strategies, student profiles and group profiles, communication between agents, negotiation strategies and coalition formation), software entities, and a methodology to evaluate the performance of eLearning systems."
19,6,Pedagogical virtual agents can effectively support the training of human groups and teams in education by providing guidance and motivation through intelligent virtual environments.,1232,"Pedagogical virtual agents to support training of human groups nan From the last decade, intelligent virtual environments (IVEs) have become a quite popular tool for applying computer science to education. The intelligence of the systems generated using IVEs usually falls on the denominated pedagogical virtual agent. Pedagogical virtual agents have characteristics that allow to increase the computer's ability to engage and motivate students along their learning process. In this paper, a human groups (teams) training strategy is presented, supporting one of its stages by the use of a pedagogical virtual agent playing the role of team leader."
20,6,An Intelligent Collaborative Virtual Environment is being developed to support team training by providing a Pedagogical Virtual Agent to assist group learning during execution.,1783,"An Intelligent Collaborative Virtual Environment for team training - A preliminary report nan The Computer Supported Collaborative Learning (CSCL) is a paradigm that can be viewed as an evolution of individual learning done in Intelligent Tutoring Systems (ITS) and Learning Environments (LE) to a group learning environments. In this paper a Team Training Strategy (TTS) is decribed, which involves the use of an Intelligent Collaborative Virtual Environment (ICVE) that incorporates a Pedagogical Virtual Agent (PVA) to assist the group during the execution stage. We are developing an ICVE to support the requeriments of each phase of the TTS; in this report we describe the advances and the ongoing work of the ICVE."
21,7,"AI planning techniques can be extended to coordinate teams of unmanned aerial vehicles (UAVs) in dynamic, communication-constrained environments.",2038,"Coordinating UAVs in Dynamic Environments by Network-Aware Mission Planning nan Traditional AI planning has been used successfully in many domains, including logistics, scheduling and game playing. This paper examines how AI planning techniques can be extended to coordinate teams of unmanned aerial vehicles (UAVs) in dynamic environments. Specifically challenging are real-world environments where UAVs and other network-enabled devices must communicate to coordinate- and communication actions are neither reliable nor free. Such network-centric environments are common in military, public safety and commercial applications, yet most planning research (even multi-agent planning) usually takes communications among distributed agents as a given. The emerging application challenge of unmanned systems makes this problem of central focus. This work examines the problem of planning, plan monitoring and coordination of the mission of multiple UAVs in a communication-constrained environment. The work introduces several abstractions that enable AI planners to reason about communication and networking knowledge; and provides the underlying network system the means for including mission data as part of network operations. This work has been empirically validated using a distributed network-centric software evaluation testbed and the results provide guidance to designers in how to understand and control intelligent systems that operate in these environments."
22,7,"A team of Unmanned Ground Vehicles (UGV) and Unmanned Aerial Vehicles (UAV) use a hierarchical distributed system architecture to effectively pursue a team of evaders in an unknown environment while building a map, with the goal of minimizing expected capture times based on evader speed and intelligence versus pursuer sensing capabilities.",3034,"A hierarchical approach to probabilistic pursuit-evasion games with unmanned ground and aerial vehicles nan We consider the problem of having a team of Unmanned Ground Vehicles (UGV) and Unmanned Aerial Vehicles (UAV) pursue a team of evaders while concurrently building a map in an unknown environment. We cast this problem in a probabilistic game-theoretic framework and consider two computationally feasible pursuit policies: greedy and global-max. We implement this scenario on a fleet of UGVs and UAVs by using a distributed hierarchical system architecture. Finally, we present both simulation and experimental results that evaluate the pursuit policies relating expected capture times to the speed and intelligence of the evaders and the sensing capabilities of the pursuers."
23,7,Genetic algorithms can effectively plan multiple paths for multiple Unmanned Aerial Vehicles (UAVs) in Multi-Agent Systems (MAS).,3257,"Path planning for multiple Unmanned Aerial Vehicles using genetic algorithms nan In the future, autonomous Unmanned Aerial Vehicles (UAVs) need to work in teams to share information and coordinate activities. The private sector and government agencies have implemented UAVs for home-land security, reconnaissance, surveillance, data collection, urban planning, and geometrics engineering. Significant research is in progress to support the decision-making process for a Multi-Agent System (MAS) consisting of multiple UAVs. This paper investigates fundamental issues in path planning for multiple UAVs. MASs with multiple UAVs are typical distributed systems. We propose to use genetic algorithms to plan multiple paths for multiple UAVs. Simulation technologies have become important to the development of aerospace vehicles. In this research, we verify the proposed path planning approach using Matlab. Simulation results demonstrate that the proposed approach is able to plan multiple paths for UAVs successfully."
