,Article Title,Publication Year,Abstract,Author Keywords,resource_data
10,More than Task Performance: Developing New Criteria for Successful Human-AI Teaming Using the Cooperative Card Game Hanabi,2024,"As we shift to designing AI agents as teammates rather than tools, the social aspects of human-AI interaction become more pronounced. Consequently, to develop agents that are able to navigate the social dynamics that accompany cooperative teamwork, evaluation criteria that refer only to objective task performance will not be sufficient. We propose perceived cooperativity and teaming perception as subjective metrics for investigating successful human-AI teaming. Corresponding questionnaire scales were developed and tested in a pilot study employing the collaborative card game Hanabi, which has been identified as a unique setting for investigating human-AI teaming. Preliminary descriptive results suggest that rule-based and reinforcement learning-based agents differ in terms of perceived cooperativity and teaming perception. Future work will extend the results in a large user study to psychometrically evaluate the scales and test a conceptual framework that includes further aspects related to social dynamics in human-AI teaming.",,第1页.xls
11,"I Know This Looks Bad, But I Can Explain: Understanding When AI Should Explain Actions In Human-AI Teams",2024,"Explanation of artificial intelligence (AI) decision-making has become an important research area in humancomputer interaction (HCI) and computer-supported teamwork research. While plenty of research has investigated AI explanations with an intent to improve AI transparency and human trust in AI, how AI explanations function in teaming environments remains unclear. Given that a major benefit of AI giving explanations is to increase human trust understanding howAI explanations impact human trust is crucial to effective human-AI teamwork. An online experiment was conducted with 156 participants to explore this question by examining how a teammate's explanations impact the perceived trust of the teammate and the effectiveness of the team and how these impacts vary based on whether the teammate is a human or an AI. This study shows that explanations facilitate trust in AI teammates when explaining why AI disobeyed humans' orders but hindered trust when explaining why an AI lied to humans. In addition, participants' personal characteristics (e.g., their gender and the individual's ethical framework) impacted their perceptions of AI teammates both directly and indirectly in different scenarios. Our study contributes to interactive intelligent systems and HCI by shedding light on how an AI teammate's actions and corresponding explanations are perceived by humans while identifying factors that impact trust and perceived effectiveness. This work provides an initial understanding of AI explanations in human-AI teams, which can be used for future research to build upon in exploring AI explanation implementation in collaborative environments.",,第1页.xls
12,More than Task Performance: Developing New Criteria for Successful Human-AI Teaming Using the Cooperative Card Game Hanabi,2024,"As we shift to designing AI agents as teammates rather than tools, the social aspects of human-AI interaction become more pronounced. Consequently, to develop agents that are able to navigate the social dynamics that accompany cooperative teamwork, evaluation criteria that refer only to objective task performance will not be sufficient. We propose perceived cooperativity and teaming perception as subjective metrics for investigating successful human-AI teaming. Corresponding questionnaire scales were developed and tested in a pilot study employing the collaborative card game Hanabi, which has been identified as a unique setting for investigating human-AI teaming. Preliminary descriptive results suggest that rule-based and reinforcement learning-based agents differ in terms of perceived cooperativity and teaming perception. Future work will extend the results in a large user study to psychometrically evaluate the scales and test a conceptual framework that includes further aspects related to social dynamics in human-AI teaming.",,第1页.xls
13,JSwarm: A Jingulu-Inspired Human-AI-Teaming Language for Context-Aware Swarm Guidance,2022,"Bi-directional communication between humans and swarm systems begs for efficient languages to communicate information between the humans and the Artificial Intelligence (AI)-enabled agents in a manner that is most appropriate for the context. We discuss the criteria for effective teaming and functional bi-directional communication between humans and AI, and the design choices required to create effective languages. We then present a human-AI-teaming communication language inspired by the Australian Aboriginal language of Jingulu, which we call JSwarm. We present the motivation and structure of the language. An example is used to demonstrate how the language operates for a shepherding swarm guidance task.",,第1页.xls
14,Human-AI teaming: leveraging transactive memory and speaking up for enhanced team effectiveness.,2023,"In this prospective observational study, we investigate the role of transactive memory and speaking up in human-AI teams comprising 180 intensive care (ICU) physicians and nurses working with AI in a simulated clinical environment. Our findings indicate that interactions with AI agents differ significantly from human interactions, as accessing information from AI agents is positively linked to a team's ability to generate novel hypotheses and demonstrate speaking-up behavior, but only in higher-performing teams. Conversely, accessing information from human team members is negatively associated with these aspects, regardless of team performance. This study is a valuable contribution to the expanding field of research on human-AI teams and team science in general, as it emphasizes the necessity of incorporating AI agents as knowledge sources in a team's transactive memory system, as well as highlighting their role as catalysts for speaking up. Practical implications include suggestions for the design of future AI systems and human-AI team training in healthcare and beyond.",,第1页.xls
15,Artificial Trust as a Tool in Human-AI Teams,2022,"Mutual trust is considered a required coordinating mechanism for achieving effective teamwork in human teams. However, it is still a challenge to implement such mechanisms in teams composed by both humans and AI (human-AI teams), even though those are becoming increasingly prevalent. Agents in such teams should not only be trustworthy and promote appropriate trust from the humans, but also know when to trust a human teammate to perform a certain task. In this project, we study trust as a tool for artificial agents to achieve better team work. In particular, we want to build mental models of humans so that agents can understand human trustworthiness in the context of human-AI teamwork, taking into account factors such as human teammates', task's and environment's characteristics.",,第1页.xls
16,Artificial Trust as a Tool in Human-AI Teams,2022,"Mutual trust is considered a required coordinating mechanism for achieving effective teamwork in human teams. However, it is still a challenge to implement such mechanisms in teams composed by both humans and AI (human-AI teams), even though those are becoming increasingly prevalent. Agents in such teams should not only be trustworthy and promote appropriate trust from the humans, but also know when to trust a human teammate to perform a certain task. In this project, we study trust as a tool for artificial agents to achieve better team work. In particular, we want to build mental models of humans so that agents can understand human trustworthiness in the context of human-AI teamwork, taking into account factors such as human teammates', task's and environment's characteristics.",,第1页.xls
17,Humans as teammates: The signal of human-AI teaming enhances consumer acceptance of chatbots,2024,"Human-artificial intelligence (AI) teaming is a service system in which AI agents work interdependently toward a common goal alongside human agents. Although many consumer services rely on chatbots working with humans, little is known about the influence of human-AI teaming on consumers' perceptions and use of chatbots in online service encounters. Using signaling theory, the present research examines whether and how human-AI teaming (vs. independent AI) increases consumer acceptance of chatbots. Through six scenario-based studies and an interview, we found that human-AI teaming can use human capabilities to endorse the effectiveness and authenticity of AI, leading to increased chatbot acceptance. However, this effect was not observed when AI capability was clear or the human service experience was negative. We contribute to information systems research by showing the mechanism and boundary conditions underlying the effect of human-AI teaming on chatbot acceptance. We also provide practical insights for managers emphasizing how human teammates in AI-consumer conversations can increase consumer acceptance of AI. All rights reserved Elsevier.",,第1页.xls
18,Modeling Goal Alignment in Human-AI Teaming: A Dynamic Game Theory Approach,2022,"As human-AI teaming becomes increasingly prevalent, goal alignment has emerged as a critical yet unsolved issue. Misaligned goals can be amplified by the situation and strategic interactions, which can further impact the teaming process and performance. These interrelated factors lack a systematic and computational model. To address this gap, we developed a dynamic game theoretical framework simulating the human-AI interdependency by integrating the Drift Diffusion Model simulating the goal alignment process. A 3 (Situation Structure) x 3 (Strategic Behaviors) x 2 (Initial Goal Alignment) simulation study of human-AI teaming was designed. Results showed that teaming with an altruistic agent in a competitive situation leads to the highest team performance. Moreover, goal alignment process can dissolve the initial goal conflict. Our study provides a first step of modeling goal alignment and implies a tradeoff between a balanced and cooperative team to guide human-AI teaming design.",,第1页.xls
19,Adapt and overcome: Perceptions of adaptive autonomous agents for human-AI teaming,2023,"Rapid advances in AI technologies have caused teams to explore the use of AI agents as full, active members of the team. The complex environments that teams occupy require human team members to constantly adapt their behaviors, and thus the ability of AI teammates to similarly adapt to changing situations significantly enhances the team's chances to succeed. In order to design such agents, it is important that we understand not only how to identify the amount of autonomous control AI agents have over their decisions, but also how changes to this control cognitively affects the rest of the team. Professional organizations often break their work cycles into phases that set limits on the team members' actions, and we propose that a similar process could be used to define the autonomy levels of AI teammates. Cyber incident response is an ideal context for this proposal, as we were able to use incident response phases to explore how a team's work cycle could guide an AI agent's changing level of autonomy. Using a mixed methods approach, we recruited 103 participants to complete a factorial survey containing ten contextual vignettes focused on an AI teammate's level of autonomy in incident response contexts, and from these participants we conducted twenty-two follow-on qualitative interviews that further explored how the participants felt an AI agent's adaptive capabilities would affect team performance and cohesiveness. Our results showed that work cycles can be used to assign autonomy levels to adaptive AI agents based upon the degree of formal processes and predictability of the team's tasks during the cycle, and that dynamic, human-like adaptation methods are vital to effective human-AI teams. This research provides significant contributions to the HCI community by proposing design recommendations for the development of adaptive autonomous teammates that both enhance Human-AI teams' productivity and promote positive team dynamics. All rights reserved Elsevier.",,第1页.xls
20,Human-AI teams-Challenges for a team-centered AI at work.,2023,"As part of the Special Issue topic Human-Centered AI at Work: Common Ground in Theories and Methods, we present a perspective article that looks at human-AI teamwork from a team-centered AI perspective, i. e., we highlight important design aspects that the technology needs to fulfill in order to be accepted by humans and to be fully utilized in the role of a team member in teamwork. Drawing from the model of an idealized teamwork process, we discuss the teamwork requirements for successful human-AI teaming in interdependent and complex work domains, including e.g., responsiveness, situation awareness, and flexible decision-making. We emphasize the need for team-centered AI that aligns goals, communication, and decision making with humans, and outline the requirements for such team-centered AI from a technical perspective, such as cognitive competence, reinforcement learning, and semantic communication. In doing so, we highlight the challenges and open questions associated with its implementation that need to be solved in order to enable effective human-AI teaming.",,第1页.xls
21,Human-AI teams in complex military operations: Soldiers' perception of intelligent AI agents as teammates in human-AI teams,2023,"Military decision-making frequently involves complex problems in non-routine situations with minimal rule-based or automated solutions. As human information processing capabilities are limited, processing the required scale of information increases the decision-makers' workload, impacting their situational awareness and affecting the quality of soldiers' decisions. This study uses a route clearance task as a use-case scenario to understand the issues in team-level decision-making in military tasks, the challenges in successfully completing the mission, and the demands placed on AI teammates when working in a human-AI team. We interviewed eight subject matter experts with prior experience in route clearance operations. The themes generated by analyzing the interview transcripts provide insights into soldiers' perceptions of AI teammates as well as recommendations for successfully integrating human-AI teams in military settings.",,第1页.xls
22,CREW: Facilitating Human-AI Teaming Research,2024,"With the increasing deployment of artificial intelligence (AI) technologies, the potential of humans working with AI agents has been growing at a great speed. Human-AI teaming is an important paradigm for studying various aspects when humans and AI agents work together. The unique aspect of Human-AI teaming research is the need to jointly study humans and AI agents, demanding multidisciplinary research efforts from machine learning to human-computer interaction, robotics, cognitive science, neuroscience, psychology, social science, and complex systems. However, existing platforms for Human-AI teaming research are limited, often supporting oversimplified scenarios and a single task, or specifically focusing on either human-teaming research or multi-agent AI algorithms. We introduce CREW, a platform to facilitate Human-AI teaming research and engage collaborations from multiple scientific disciplines, with a strong emphasis on human involvement. It includes pre-built tasks for cognitive studies and Human-AI teaming with expandable potentials from our modular design. Following conventional cognitive neuroscience research, CREW also supports multimodal human physiological signal recording for behavior analysis. Moreover, CREW benchmarks real-time human-guided reinforcement learning agents using state-of-the-art algorithms and well-tuned baselines. With CREW, we were able to conduct 50 human subject studies within a week to verify the effectiveness of our benchmark.",,第1页.xls
23,How Being Outvoted by AI Teammates Impacts Human-AI Collaboration,2024,"Recent advances in artificial intelligence (AI) enable AI agents to go beyond simply supporting human activities and, instead, take more control in team decision-making. While significant literature has studied human-AI collaboration through the lens of AI as a second opinion system, this type of interaction is not fully representative of many human-human team collaboration scenarios, such as scenarios where each decision maker is granted equal voting rights for the team decision. In this research, we explore how imparting AI agents with equal voting rights to the human impacts human-AI decision-making and team performance. Using a human subjects experiment in which participants collaborate with two AI teammates for truss structure (aka, bridge) design, we manipulate a series of voting scenarios (e.g., AI agents outvoting the human vs. AI agents agreeing with the human) and AI performance levels (high vs. low performing). The results indicate that changes in human self-confidence are not consistent with whether the quality of the final team-voted design action is advantageous or disadvantageous relative to their own actions. The results also show that when humans are outvoted by their AI teammates, they do not show strong negative emotional reactions if the team-voted decision has an advantageous outcome. Additionally, AI performance significantly influences the human-AI team decision-making process and even one low-performing AI (i.e., an AI that is frequently incorrect) on the team can significantly deteriorate team performance. Taken together, this research provides empirical evidence on the effects of AI voting with equal decision authority on human-AI collaboration, as well as valuable insights supporting real-world applications of human-AI collaboration via voting.",,第1页.xls
24,New research paradigms and agenda of human factors science in the intelligence era,2024,"This paper first proposes the innovative concept of human factors science to characterize engineering psychology, human factors engineering, ergonomics, human-computer interaction, and other similar fields. Although the perspectives in these fields differ, they share a common goal: optimizing the human-machine relationship by applying a human-centered design approach. AI technology has brought in new characteristics, and our recent research reveals that the human-machine relationship presents a trans-era evolution from human-machine interaction to human-AI teaming. These changes have raised questions and challenges for human factors science, compelling us to re-examine current research paradigms and agendas. In this context, this paper reviews and discusses the implications of the following three conceptual models and frameworks that we recently proposed to enrich the research paradigms for human factors science. (1) human-AI joint cognitive systems: this model differs from the traditional human-computer interaction paradigm and regards an intelligent system as a cognitive agent with a certain level of cognitive capabilities. Thus, a human-AI system can be characterized as a joint cognitive system in which two cognitive agents (human and intelligent agents) work as teammates for collaboration. (2) human-AI joint cognitive ecosystems: an intelligent ecosystem with multiple human-AI systems can be represented as a human-AI joint cognitive ecosystem. The overall system performance of the intelligent ecosystem depends on optimal collaboration and design across the multiple human-AI systems. (3) intelligent sociotechnical systems (iSTS): human-AI systems are designed, developed, and deployed in an iSTS environment. From a macro perspective, iSTS focuses on the interdependency between the technical and social subsystems. The successful design, development, and deployment of a human-AI system within an iSTS environment depends on the synergistic optimization between the two subsystems. This paper further enhances these frameworks from the research paradigm perspective. We propose three new research paradigms for human factors science in the intelligence ear: human-AI joint cognitive systems, human-AI joint cognitive ecosystems, and intelligent sociotechnical systems, enabling comprehensive human factors solutions for AI-based intelligent systems. Further analyses show that the three new research paradigms will benefit future research in human factors science. Furthermore, this paper looks forward to the future research agenda of human factors science from three aspects: human-AI interaction, intelligent human-machine interface, and human-AI teaming. We believe the proposed research paradigms and the future research agenda will mutually promote each other, further advancing human factors science in the intelligence era.",,第1页.xls
25,Human-AI Symbiosis: A Survey of Current Approaches [arXiv],2021,"In this paper, we aim at providing a comprehensive outline of the different threads of work in human-AI collaboration. By highlighting various aspects of works on the human-AI team such as the flow of complementing, task horizon, model representation, knowledge level, and teaming goal, we make a taxonomy of recent works according to these dimensions. We hope that the survey will provide a more clear connection between the works in the human-AI team and guidance to new researchers in this area.",,第1页.xls
26,On the Utility of External Agent Intention Predictor for Human-AI Coordination,2024,"Reaching a consensus on the team plans is vital to human-AI coordination. Although previous studies provide approaches through communications in various ways, it could still be hard to coordinate when the AI has no explainable plan to communicate. To cover this gap, we suggest incorporating external models to assist humans in understanding the intentions of AI agents. In this paper, we propose a two-stage paradigm that first trains a Theory of Mind (ToM) model from collected offline trajectories of the target agent, and utilizes the model in the process of human-AI collaboration by real-timely displaying the future action predictions of the target agent. Such a paradigm leaves the AI agent as a black box and thus is available for improving any agents. To test our paradigm, we further implement a transformer-based predictor as the ToM model and develop an extended online human-AI collaboration platform for experiments. The comprehensive experimental results verify that human-AI teams can achieve better performance with the help of our model. A user assessment attached to the experiment further demonstrates that our paradigm can significantly enhance the situational awareness of humans. Our study presents the potential to augment the ability of humans via external assistance in human-AI collaboration, which may further inspire future research.",,第1页.xls
27,Trustworthy human-AI partnerships,2021,"In this paper, we foreground some of the key research challenges that arise in the design of trustworthy human-AI partnerships. In particular, we focus on the challenges in designing human-AI partnerships that need to be addressed to help humans and organizations trust their machine counterparts individually or as a collective (e.g., as robot teams or groups of software agents). We also aim to identify the risks associatedwith human-AI partnerships and therefore determine the associated measures to mitigate these risks. By so doing, we will trigger new avenues of research that will address the key barriers to the adoption of AI-based systems more widely in our daily lives and in industry.",,第1页.xls
28,SIGCHI Outstanding Dissertation Award: Profiling Artificial Intelligence as a Material for User Experience Design,2021,"HCI has become especially interested in the promises and challenges of user experience of AI, such as user acceptance, human-agent teamwork, and accessibility. Less discussed, however, is that the field of HCI routinely grapples with such challenges; across the various technologies commonly referred to as AI (e.g., predictive modeling, computer vision, NLP), what shared characteristics made human-AI interaction appeared uniquely difficult to design in the first place? Synthesizing my hands-on design and research over the past six years, in my dissertation, I worked to articulate whether, why, and how human-AI interaction appears uniquely challenging to design with established HCI methods. In this extended abstract, I first describe a human-AI interaction design framework as an answer to this question. I then discuss one critical implication of this framework: Framing data-driven AI systems as living socio-technical systems that co-evolve with their users. I analogize this reframing to the shift from desktop computing to ubiquitous computing and outline the ethnographic, design, and technological research opportunities it reveals.",,第1页.xls
29,When Should I Lead or Follow: Understanding Initiative Levels in Human-AI Collaborative Gameplay,2024,"Dynamics in Human-AI interaction should lead to more satisfying and engaging collaboration. Key open questions are how to design such interactions and the role personal goals and expectations play. We developed three AI partners of varying initiative (leader, follower, shifting) in a collaborative game called Geometry Friends. We conducted a within-subjects experiment with 60 participants to assess personal AI partner preference and performance satisfaction as well as perceived warmth and competence of AI partners. Results show that AI partners following human initiative are perceived as warmer and more collaborative. However, some participants preferred AI leaders for their independence and speed, despite being seen as less friendly. This suggests that assigning a leadership role to the AI partner may be suitable for time-sensitive scenarios. We identify design factors for developing collaborative AI agents with varying levels of initiative to create more effective human-AI teams that consider context and individual preference.",,第1页.xls
30,A Study of Drone-based AI for Enhanced Human-AI Trust and Informed Decision Making in Human-AI Interactive Virtual Environments,2022,"Search and Rescue Operations (SRO) are notoriously difficult as they typically involve human operations in high risk and low visibility environments. Often, stakeholders only have a general perception of the possible adversities in the situational environment. Ultimately, the success of these operations is a function of the manpower available, the terrain of the region, informed-decision-making based on terrain mapping and objective success in completion of search and rescue tasks with lower human casualties. A practical solution to this problem is to leverage the use of autonomous systems such as drones and rescue robots that can scout the terrain to gather information to augment the rescue team's capabilities and mission success rates. In situations, such as a combat search and rescue mission, the mission might call for a cooperative effort between a Human and AI Agent, whereby both are able to share intelligence and coordinate in decision-making tasks. In this work, we present several novel contributions through a combat search and rescue simulation scenario that leverages a drone-based AI autonomous system for detection of targets-of-interest in the environment as a basis for human-AI teaming study. In this research, we examine various human factor metrics for different modes of interactions between the human agent and AI-driven drone/autonomous system agent to include implications on human mission completion with and without drone-based AI target detection-derived human situational awareness and time to mission completion. In addition, we introduce innovative AI techniques to model human agent (player) - AI agent (drone) exchanges through a hostage rescue scenario-based simulation and explore incentive strategies directed towards the human agent to encourage adoption of AI-based autonomous system as a cooperative intelligence asset and improve human-AI teaming performance. The unification of both AI techniques to model Human-AI interaction and incentive mechanisms to encourage usage of autonomous systems sets the foundation for assessing the efficacy of AI in Human Agent Teams.",,第1页.xls
31,Towards Human-AI Mutual Learning: A New Research Paradigm,2024,"This paper describes a new research paradigm for studying human-AI collaboration, named human-AI mutual learning, defined as the process where humans and AI agents preserve, exchange, and improve knowledge during human-AI collaboration. We describe relevant methodologies, motivations, domain examples, benefits, challenges, and future research agenda under this paradigm.",,第1页.xls
32,SIGCHI Outstanding Dissertation Award: Profiling Artificial Intelligence as a Material for User Experience Design,2021,"HCI has become especially interested in the promises and challenges of user experience of AI, such as user acceptance, human-agent teamwork, and accessibility. Less discussed, however, is that the field of HCI routinely grapples with such challenges; across the various technologies commonly referred to as AI (e.g., predictive modeling, computer vision, NLP), what shared characteristics made human-AI interaction appeared uniquely difficult to design in the first place? Synthesizing my hands-on design and research over the past six years, in my dissertation, I worked to articulate whether, why, and how human-AI interaction appears uniquely challenging to design with established HCI methods. In this extended abstract, I first describe a human-AI interaction design framework as an answer to this question. I then discuss one critical implication of this framework: Framing data-driven AI systems as living socio-technical systems that co-evolve with their users. I analogize this reframing to the shift from desktop computing to ubiquitous computing and outline the ethnographic, design, and technological research opportunities it reveals.",,第1页.xls
33,Transdisciplinary Team Science: Transcending Disciplines to Understand Artificial Social Intelligence in Human-Agent Teaming,2023,"We provide a transdisciplinary viewpoint on creating artificial social intelligence for human-agent teaming. We discuss theoretical, methodological, and technological insights, drawn from different disciplines, to more fully illuminate how cross-disciplinary research can inform research design and development. We unite ideas spanning human factors, cognitive and computer science, and organizational behavior. Grounding our ideas in real world challenges for human-AI teaming, and via a series of questions designed to facilitate synthesis across disciplines, we illustrate how transdisciplinary team science more effectively asks and answers complex questions on human-agent teaming. Our objective is to contribute to research and development in the field of human-AI and human-robot teaming by emphasizing a more human-centered perspective on AI.",,第1页.xls
