,pub_years,3_in_1
11,2020,"HACO: A Framework for Developing Human-AI Teaming nan We witnessed great advancement in artificial intelligence (AI) powered technologies over the past few decades. Wide use of AI technologies has led to the creation of an ecosystem where human and AI systems are partners, complementing each other with their strengths. To build a successful human-AI team, there are several considerations, including context awareness, effective communication, pro-activeness, etc. In this paper, we present a taxonomy of human-AI teaming concepts. We extend a multi-agent framework, Java Agent Development Framework ( JADE), to support the proposed taxonomy. Our solution framework, Human-AI Collaboration (HACO), enables a model-driven development of human-AI teaming systems through graphical user interface. In this paper, we present the solution architecture for extending JADE with human-AI teaming taxonomy. A user study performed to assess the usefulness of HACO, shows that HACO is a promising framework. We evaluated the proposed framework by developing a set of use cases for a contact center and observed a signification reduction in the overall development effort."
12,2024,"More than Task Performance: Developing New Criteria for Successful Human-AI Teaming Using the Cooperative Card Game Hanabi nan As we shift to designing AI agents as teammates rather than tools, the social aspects of human-AI interaction become more pronounced. Consequently, to develop agents that are able to navigate the social dynamics that accompany cooperative teamwork, evaluation criteria that refer only to objective task performance will not be sufficient. We propose perceived cooperativity and teaming perception as subjective metrics for investigating successful human-AI teaming. Corresponding questionnaire scales were developed and tested in a pilot study employing the collaborative card game Hanabi, which has been identified as a unique setting for investigating human-AI teaming. Preliminary descriptive results suggest that rule-based and reinforcement learning-based agents differ in terms of perceived cooperativity and teaming perception. Future work will extend the results in a large user study to psychometrically evaluate the scales and test a conceptual framework that includes further aspects related to social dynamics in human-AI teaming."
13,2020,"An Ideal Human: Expectations of AI Teammates in Human-AI Teaming nan Driven by state-of-the-art AI technologies, human-AI collaboration has become an important area in computer-supported teamwork research. While human-AI collaboration has been investigated in various domains, more research is needed to explore human perceptions and expectations of AI teammates in human-AI teaming. To achieve an in-depth understanding of how people perceive AI teammates and what they expect from AI teammates in human-AI teaming, we conducted a survey with 213 participants and a follow-up interview with 20 participants. Considering the context-dependency of teamwork, we chose to study human-AI teaming in the context of multiplayer online games as a case study. This study shows that people have mixed feelings toward AI teammates but hold a positive attitude toward future collaboration with AI teammates in general. Our findings highlight people's expectations for AI teammates in a rapidly changing collaborative environment (e.g., instrumental skills for in-game tasks, shared understanding between humans and AI, communication capabilities, human-like behaviors and performance), as well as factors that impact people's willingness to team up with AI teammates (e.g., pre-existing attitudes toward AI, previous collaboration experience with humans). We contribute to CSCW by shedding light on how AI should be structured in human-AI teaming to support highly complex collaborative activities in CSCW environments."
14,2023,MULTITTRUST: 2nd Workshop on Multidisciplinary Perspectives on Human-AI Team Trust nan nan
15,2022,"An Agile New Research Framework for Hybrid Human-Al Teaming: Trust, Transparency, and Transferability nan We propose a new research framework by which the nascent discipline of human-AI teaming can be explored within experimental environments in preparation for transferal to real-world contexts. We examine the existing literature and unanswered research questions through the lens of an Agile approach to construct our proposed framework. Our framework aims to provide a structure for understanding the macro features of this research landscape, supporting holistic research into the acceptability of human-AI teaming to human team members and the affordances of AI team members. The framework has the potential to enhance decision-making and performance of hybrid human-AI teams. Further, our framework proposes the application of Agile methodology for research management and knowledge discovery. We propose a transferability pathway for hybrid teaming to be initially tested in a safe environment, such as a real-time strategy video game, with elements of lessons learned that can be transferred to real-world situations."
16,2023,"Human-AI teams-Challenges for a team-centered AI at work. nan As part of the Special Issue topic Human-Centered AI at Work: Common Ground in Theories and Methods, we present a perspective article that looks at human-AI teamwork from a team-centered AI perspective, i. e., we highlight important design aspects that the technology needs to fulfill in order to be accepted by humans and to be fully utilized in the role of a team member in teamwork. Drawing from the model of an idealized teamwork process, we discuss the teamwork requirements for successful human-AI teaming in interdependent and complex work domains, including e.g., responsiveness, situation awareness, and flexible decision-making. We emphasize the need for team-centered AI that aligns goals, communication, and decision making with humans, and outline the requirements for such team-centered AI from a technical perspective, such as cognitive competence, reinforcement learning, and semantic communication. In doing so, we highlight the challenges and open questions associated with its implementation that need to be solved in order to enable effective human-AI teaming."
17,2020,"HACO: a Framework for Developing Human-AI Teaming nan We witnessed great advancement in artificial intelligence (AI) powered technologies over the past few decades. Wide use of AI technologies has led to the creation of an ecosystem where human and AI systems are partners, complementing each other with their strengths. To build a successful human-AI team, there are several considerations, including context awareness, effective communication, pro-activeness, etc. In this paper, we present a taxonomy of human-AI teaming concepts. We extend a multi-agent framework, Java Agent Development Framework (JADE), to support the proposed taxonomy. Our solution framework, Human-AI Collaboration (HACO), enables a model-driven development of human-AI teaming systems through graphical user interface. In this paper, we present the solution architecture for extending JADE with human-AI teaming taxonomy. A user study performed to assess the usefulness of HACO, shows that HACO is a promising framework. We evaluated the proposed framework by developing a set of use cases for a contact center and observed a signification reduction in the overall development effort. The framework video can be viewed at https://youtu.be/lNyrrk8dMqU."
18,2022,"JSwarm: A Jingulu-Inspired Human-AI-Teaming Language for Context-Aware Swarm Guidance nan Bi-directional communication between humans and swarm systems begs for efficient languages to communicate information between the humans and the Artificial Intelligence (AI)-enabled agents in a manner that is most appropriate for the context. We discuss the criteria for effective teaming and functional bi-directional communication between humans and AI, and the design choices required to create effective languages. We then present a human-AI-teaming communication language inspired by the Australian Aboriginal language of Jingulu, which we call JSwarm. We present the motivation and structure of the language. An example is used to demonstrate how the language operates for a shepherding swarm guidance task."
19,2023,"Create Effective and Responsible AI User Experiences with The Human-AI Experience (HAX) Toolkit nan The HAX Toolkit (https://aka.ms/haxtoolkit) is a set of collaborative tools that helps teams working on user-facing AI plan, create, and evaluate human-AI user experiences. This course will help AI practitioners, human-AI interaction researchers, teachers, and students learn how to use the HAX Toolkit themselves and how to introduce it to others. The Toolkit is grounded in a set of Guidelines for Human-AI Interaction [1] that prescribe how AI systems should behave when interacting with people. Course attendees will explore the nuances of each guideline and learn how to use the AI patterns and examples in the HAX Design Library to apply the Guidelines. Course attendees will also learn how to guide cross-disciplinary teams in planning user-facing AI systems by using the HAX Workbook. For NLP systems, course attendees will learn to use the HAX Playbook [2] to anticipate and design for failures.The HAX Toolkit is a set of collaborative tools that helps teams working on user-facing AI plan, create, and evaluate human-AI user experiences. This course will help AI practitioners, human-AI interaction researchers, teachers, and students learn how to use the HAX Toolkit themselves and how to introduce it to others. Course attendees will learn the nuances of the Guidelines for Human-AI Interaction, how to lead cross-disciplinary teams in planning human-AI interaction using the HAX Workbook, and how to use the HAX Workbook to plan for failures of NLP systems."
20,2024,Editorial: Human-centered AI at work: common ground in theories and methods. nan nan
21,2023,"Human-AI teaming: leveraging transactive memory and speaking up for enhanced team effectiveness. nan In this prospective observational study, we investigate the role of transactive memory and speaking up in human-AI teams comprising 180 intensive care (ICU) physicians and nurses working with AI in a simulated clinical environment. Our findings indicate that interactions with AI agents differ significantly from human interactions, as accessing information from AI agents is positively linked to a team's ability to generate novel hypotheses and demonstrate speaking-up behavior, but only in higher-performing teams. Conversely, accessing information from human team members is negatively associated with these aspects, regardless of team performance. This study is a valuable contribution to the expanding field of research on human-AI teams and team science in general, as it emphasizes the necessity of incorporating AI agents as knowledge sources in a team's transactive memory system, as well as highlighting their role as catalysts for speaking up. Practical implications include suggestions for the design of future AI systems and human-AI team training in healthcare and beyond."
22,2024,"A Retrospective Engineering Analysis of Human -AI Teams Using the Sidekick Principles nan The speed of development of Artificial Intelligence (AI) capabilities outpaces that of human systems engineering, particularly for the integration of human-AI teams (HAT) in production-level software. The emergence of frameworks for the principled design and development of hybrid systems offers opportunities to close this gap: They can help identify which common HAT components should be built and matured to accelerate the engineering of such hybrid systems. Leveraging the sidekick principles of human-AI teaming in a review of recent efforts, we identified a prioritized list of system requirements for reusable HAT components. We share these insights with a specific emphasis on the analytical microservices we believe are key to instantiating the sidekick principles."
24,2022,"Artificial Trust as a Tool in Human-AI Teams nan Mutual trust is considered a required coordinating mechanism for achieving effective teamwork in human teams. However, it is still a challenge to implement such mechanisms in teams composed by both humans and AI (human-AI teams), even though those are becoming increasingly prevalent. Agents in such teams should not only be trustworthy and promote appropriate trust from the humans, but also know when to trust a human teammate to perform a certain task. In this project, we study trust as a tool for artificial agents to achieve better team work. In particular, we want to build mental models of humans so that agents can understand human trustworthiness in the context of human-AI teamwork, taking into account factors such as human teammates', task's and environment's characteristics."
25,2023,"A Minecraft Based Simulated Task Environment for Human AI Teaming nan In this extended abstract we present the design, development, and evaluation of a Minecraft-based simulated task environment to conduct human and AI teaming research. With the deluge of AI-driven applications and their infiltration into many activities of daily living, it is becoming necessary to look at ways that humans and AI can work together. There is a tremendous research burden associated with accurately evaluating the best practices and tradeoffs when humans and AI have to collaborate together in completing critical tasks. Minecraft offers a low-cost alternative as an early investigating tool for researchers to build answers to emerging research questions before significantly investing in human-AI teaming activities in the real world. We demonstrate successfully via a simple rule-based AI, insights that could highly influence human-AI teaming activities can be derived to improve practical and viable development of protocols and procedures. Our findings indicate that simulated task environments play a critical role in furthering human AI teaming activities."
26,2021,"Human-AI Symbiosis: A Survey of Current Approaches [arXiv] nan In this paper, we aim at providing a comprehensive outline of the different threads of work in human-AI collaboration. By highlighting various aspects of works on the human-AI team such as the flow of complementing, task horizon, model representation, knowledge level, and teaming goal, we make a taxonomy of recent works according to these dimensions. We hope that the survey will provide a more clear connection between the works in the human-AI team and guidance to new researchers in this area."
28,2024,"A Cybersecurity Game to Probe Human-AI Teaming nan Recent advances in AI indicate that the future of cybersecurity workforce development lies in professionals working in Human-AI teams to defend online resources from opposing Human-AI teams of malicious attackers. However, there is little research on how human biases and attitudes affects the performance of human-AI teams in cybersecurity. To help explore this new research area, we describe a simulation game that helps students (future professionals) understand the concept of firewalls while enabling us to probe attitudes towards cybersecurity and AI, as well as trust and cooperation in HumanAI teams. Early study prototyping results indicate that students prefer an AI-teammate over a human in this simulation game setting. In addition, students seem to engage well with the game play, pointing towards this research platform's suitability for exploring trust and cooperation in human-AI teams for game-based cybersecurity training, and to support our prior results on differing perspectives on cybersecrity risk."
29,2024,"Towards Integrating Knowledge Graphs into Process-Oriented Human-AI Collaboration in Industry nan Human-AI collaboration in industrial manufacturing promises to overcome current limitations by combining the flexibility of human intelligence and the scaling and processing capabilities of machine intelligence. To ensure effective collaboration between human and AI team members, we envision a software-driven coordination mechanism that orchestrates the interactions between the participants in Human-AI teaming scenarios and help to synchronize the information flow between them. A structured process-oriented approach to systems engineering aims at generalizability, deployment efficiency and enhancing the quality of the resulting software by formalizing the human-AI interaction as a BPMN process model. During runtime, this process model is executed by the teaming engine, one of the core components of the Teaming.AI software platform. By incorporating dynamic execution traces of these process models into a knowledge graph structure and linking them to contextual background knowledge, we facilitate the monitoring of variations in process executions and inference of new insights during runtime. Knowledge graphs are a powerful tool for semantic integration of diverse data, thereby significantly improving the data quality, which is still one of the biggest issues in AI-driven software solutions. We present the Teaming.AI software platform and its key components as a framework for enabling transparent teamwork between humans and AI in industry. We discuss its application in the context of an industrial use case in plastic injection molding production. Overall, this Teaming.AI platform provides a robust, flexible and accountable solution for human-AI collaboration in manufacturing."
30,2023,"Human-AI teams in complex military operations: Soldiers' perception of intelligent AI agents as teammates in human-AI teams nan Military decision-making frequently involves complex problems in non-routine situations with minimal rule-based or automated solutions. As human information processing capabilities are limited, processing the required scale of information increases the decision-makers' workload, impacting their situational awareness and affecting the quality of soldiers' decisions. This study uses a route clearance task as a use-case scenario to understand the issues in team-level decision-making in military tasks, the challenges in successfully completing the mission, and the demands placed on AI teammates when working in a human-AI team. We interviewed eight subject matter experts with prior experience in route clearance operations. The themes generated by analyzing the interview transcripts provide insights into soldiers' perceptions of AI teammates as well as recommendations for successfully integrating human-AI teams in military settings."
31,2024,"Humans as teammates: The signal of human-AI teaming enhances consumer acceptance of chatbots nan Human-artificial intelligence (AI) teaming is a service system in which AI agents work interdependently toward a common goal alongside human agents. Although many consumer services rely on chatbots working with humans, little is known about the influence of human-AI teaming on consumers' perceptions and use of chatbots in online service encounters. Using signaling theory, the present research examines whether and how human-AI teaming (vs. independent AI) increases consumer acceptance of chatbots. Through six scenario-based studies and an interview, we found that human-AI teaming can use human capabilities to endorse the effectiveness and authenticity of AI, leading to increased chatbot acceptance. However, this effect was not observed when AI capability was clear or the human service experience was negative. We contribute to information systems research by showing the mechanism and boundary conditions underlying the effect of human-AI teaming on chatbot acceptance. We also provide practical insights for managers emphasizing how human teammates in AI-consumer conversations can increase consumer acceptance of AI. All rights reserved Elsevier."
32,2024,"New research paradigms and agenda of human factors science in the intelligence era nan This paper first proposes the innovative concept of human factors science to characterize engineering psychology, human factors engineering, ergonomics, human-computer interaction, and other similar fields. Although the perspectives in these fields differ, they share a common goal: optimizing the human-machine relationship by applying a human-centered design approach. AI technology has brought in new characteristics, and our recent research reveals that the human-machine relationship presents a trans-era evolution from human-machine interaction to human-AI teaming. These changes have raised questions and challenges for human factors science, compelling us to re-examine current research paradigms and agendas. In this context, this paper reviews and discusses the implications of the following three conceptual models and frameworks that we recently proposed to enrich the research paradigms for human factors science. (1) human-AI joint cognitive systems: this model differs from the traditional human-computer interaction paradigm and regards an intelligent system as a cognitive agent with a certain level of cognitive capabilities. Thus, a human-AI system can be characterized as a joint cognitive system in which two cognitive agents (human and intelligent agents) work as teammates for collaboration. (2) human-AI joint cognitive ecosystems: an intelligent ecosystem with multiple human-AI systems can be represented as a human-AI joint cognitive ecosystem. The overall system performance of the intelligent ecosystem depends on optimal collaboration and design across the multiple human-AI systems. (3) intelligent sociotechnical systems (iSTS): human-AI systems are designed, developed, and deployed in an iSTS environment. From a macro perspective, iSTS focuses on the interdependency between the technical and social subsystems. The successful design, development, and deployment of a human-AI system within an iSTS environment depends on the synergistic optimization between the two subsystems. This paper further enhances these frameworks from the research paradigm perspective. We propose three new research paradigms for human factors science in the intelligence ear: human-AI joint cognitive systems, human-AI joint cognitive ecosystems, and intelligent sociotechnical systems, enabling comprehensive human factors solutions for AI-based intelligent systems. Further analyses show that the three new research paradigms will benefit future research in human factors science. Furthermore, this paper looks forward to the future research agenda of human factors science from three aspects: human-AI interaction, intelligent human-machine interface, and human-AI teaming. We believe the proposed research paradigms and the future research agenda will mutually promote each other, further advancing human factors science in the intelligence era."
33,2024,"An Evaluation of Situational Autonomy for Human-AI Collaboration in a Shared Workspace Setting nan Designing interactions for human-AI teams (HATs) can be challenging due to an AI agent's potential autonomy. Previous work suggests that higher autonomy does not always improve team performance, and situation-dependent autonomy adaptation might be beneficial. However, there is a lack of systematic empirical evaluations of such autonomy adaptation in human-AI interaction. Therefore, we propose a cooperative task in a simulated shared workspace to investigate effects of fixed levels of AI autonomy and situation-dependent autonomy adaptation on team performance and user satisfaction. We derive adaptation rules for AI autonomy from previous work and a pilot study. We implement these rule for our main experiment and find that team performance was best when humans collaborated with an agent adjusting its autonomy based on the situation. Additionally, users rated this agent highest in terms of perceived intelligence. From these results, we discuss the influence of varying autonomy degrees on HATs in shared workspaces."
34,2023,"Improving the State of the Art for Training Human-AI Teams: Technical Report #3 -- Analysis of Testbed Alternatives [arXiv] nan Sonalysts is working on an initiative to expand our current expertise in teaming to Human-Artificial Intelligence (AI) teams by developing original research in this area. To provide a foundation for that research, Sonalysts is investigating the development of a Synthetic Task Environment (STE). In a previous report, we documented the findings of a recent outreach effort in which we asked military Subject Matter Experts (SMEs) and other researchers in the Human-AI teaming domain to identify the qualities that they most valued in a testbed. A surprising finding from that outreach was that several respondents recommended that our team look into existing human-AI teaming testbeds, rather than creating something new. Based on that recommendation, we conducted a systematic investigation of the associated landscape. In this report, we describe the results of that investigation. Building on the survey results, we developed testbed evaluation criteria, identified potential testbeds, and conducted qualitative and quantitative evaluations of candidate testbeds. The evaluation process led to five candidate testbeds for the research team to consider. In the coming months, we will assess the viability of the various alternatives and begin to execute our program of research."
35,2022,"Bad, mad and cooked apples: Responsibility for unlawful targeting in human-AI military teams [arXiv] nan A Nation's responsibility is to predict in advance and protect human wellbeing in conflict including protection from moral injury and unjust attribution of responsibility for their actions. This position paper considers responsibility for unlawful killings by human AI teams drawing on a metaphor from Neta Crawford's chapter, When Soldiers Snap: Bad Apples and Mad Apples, in Accountability for Killing: Moral responsibility for collateral damage in America's post 911 wars. This paper contends that although militaries may have some bad apples responsible for war crimes and some mad apples unable to be responsible for their actions during a conflict, increasingly militaries may cook their good apples by putting them in untenable decision making environments with AI. A cooked apple may be pushed beyond reasonable limits leading to a loss of situational awareness, cognitive overload, loss of agency and autonomy leading to automation bias. In these cases, moral responsibility and perhaps even legal responsibility for unlawful deaths may be contested for cooked apples, risking operators becoming moral crumple zones and or suffering moral injury from being part of larger human AI systems authorised by the state. Nations are responsible for minimising risks to humans within reasonable bounds and compliance with legal obligations in human AI military teams, and the military systems used to make or implement decisions. The paper suggests that best practise WHS frameworks might be drawn on in development, acquisition and training ahead of deployment of systems in conflicts to predict and mitigate risks of human AI military teams."
36,2023,Structuring AI Teammate Communication: An Exploration of AI's Communication Strategies in Human-AI Teams nan nan
37,2023,"A Minecraft based simulated task environment for human AI teaming nan In this extended abstract we present the design, development, and evaluation of a Minecraft-based simulated task environment to conduct human and AI teaming research. With the deluge of AI-driven applications and their infiltration into many activities of daily living, it is becoming necessary to look at ways that humans and AI can work together. There is a tremendous research burden associated with accurately evaluating the best practices and trade-offs when humans and AI have to collaborate together in completing critical tasks. Minecraft offers a low-cost alternative as an early investigating tool for researchers to build answers to emerging research questions before significantly investing in human-AI teaming activities in the real world. We demonstrate successfully via a simple rule-based AI, insights that could highly influence human-AI teaming activities can be derived to improve practical and viable development of protocols and procedures. Our findings indicate that simulated task environments play a critical role in furthering human AI teaming activities."
38,2021,"Determinants and Predictors of Intentionality and Perceived Reliability in Human-AI Interaction as a Means for Innovative Scientific Discovery nan With the increasing development of human-AI teaming structures within and across geographies, the time is ripe for a continuous and objective look at the predictors, barriers, and facilitators of human-AI scientific collaboration from a multidisciplinary point of view. This paper aims at contributing to this end by exploiting a set of factors affecting attitudes towards the adoption of human-AI interaction into scientific work settings. In particular, we are interested in identifying the determinants of trust and acceptability when considering the combination of hybrid human-AI approaches for improving research practices. This includes the way as researchers assume human-centered artificial intelligence (AI) and crowdsourcing as valid mechanisms for aiding their tasks. Through the lens of a unified theory of acceptance and use of technology (UTAUT) combined with an extended technology acceptance model (TAM), we pursue insights on the perceived usefulness, potential blockers, and adoption drivers that may be representative of the intention to use hybrid intelligence systems as a way of unveiling unknown patterns from large amounts of data and thus enabling novel scientific discoveries."
39,2024,"When in Doubt! Understanding the Role of Task Characteristics on Peer Decision-Making with AI Assistance nan With the integration of AI systems into our daily lives, human-AI collaboration has become increasingly prevalent. Prior work in this realm has primarily explored the effectiveness and performance of individual human and AI systems in collaborative tasks. While much of decision-making occurs within human peers and groups in the real world, there is a limited understanding of how they collaborate with AI systems. One of the key predictors of human-AI collaboration is the characteristics of the task at hand. Understanding the influence of task characteristics on human-AI collaboration is crucial for enhancing team performance and developing effective strategies for collaboration. Addressing a research and empirical gap, we seek to explore how the features of a task impact decision-making within human-AI group settings. In a 2 * 2 between-subjects study (N = 256) we examine the effects of task complexity and uncertainty on group performance and behaviour. The participants were grouped into pairs and assigned to one of four experimental conditions characterized by varying degrees of complexity and uncertainty. We found that high task complexity and high task uncertainty can negatively impact the performance of human-AI groups, leading to decreased group accuracy and increased disagreement with the AI system. We found that higher task complexity led to a higher efficiency in decision-making, while a higher task uncertainty had a negative impact on efficiency. Our findings highlight the importance of considering task characteristics when designing human-AI collaborative systems, as well as the future design of empirical studies exploring human-AI collaboration."
40,2023,"Digital capability requirements and improvement strategies: Organizational socialization of AI teammates nan Artificial Intelligence (AI) can enter organizations and become AI teammates in organizational teams, posing new challenges to organizational form, team management, and team working patterns. Establishing an efficient human-AI team requires an organization and its members to have superior digital capabilities and develop effective capability improvement strategies to realize the organizational socialization process of AI. In this paper, we adopt the Design Research (DR) approach in building a Human-AI Collaboration Platform (HACP) in a work team, integrating AI teammates based on HACP, and optimizing the platform and human-AI collaboration. Considering organizational digital capabilities as one of the core components, we propose a threelevel framework of digitalization capabilities for individuals, organizations, and across organizations, as well as the enhancement strategies of such capabilities. Besides, we clarify the foundation of digitalization capabilities and design, implement, and verify the enhancement strategies. The construction and successful implementation of the HACP in our study verify the effectiveness of the proposed capability framework and provide principle guidance for organizations to implement effective strategies to improve digital capabilities to facilitate the organizational socialization of AI teammates."
41,2020,"Modelling Hybrid Human-Artificial Intelligence Cooperation: A Call Center Customer Service Case Study nan As autonomous systems become an essential part of augmented decision-making in the workforce, we have the opportunity to change the relationship between human and machine into a more collaborative one. The future of industry, commercial and public services point in a direction where humans and artificial intelligence (AI) increasingly work together. AI systems are increasingly extending and enriching decision support by complementing and augmenting human capabilities. To further elevate this partnership, we need to form organic human-AI teams that communicate with, adapt to, and learn from each other. We create a new human-in-the-loop hybrid spectrum, that expands existing definitions of human and machine teaming. For a given situation and a team of humans and AI systems, we are interested in testing variations on human-AI cooperation outcomes. We examine a call center use case to determine how variations in human and machine teaming affects average handle time and response quality outputs that affect customer service. We have evaluated three scenarios: 1) human-only, 2) AI-only, and 3) human + AI collaboration. Under the parameter space we studied, we found that human + AI collaboration is optimal."
